question,type,options,answer,concepts
What is the primary focus of an organization that has adopted a 'Product Mindset'?,mcq,Adhering strictly to a pre-defined project scope and timeline.|Building as many features as possible to compete in the market.|Understanding and solving real customer problems.|Minimizing development costs by outsourcing engineering tasks.,Understanding and solving real customer problems.,"Product Mindset,Product Management Fundamentals"
"According to the provided material, how is a 'Delivery Team' primarily measured?",mcq,By the market growth and customer satisfaction.|By the value provided to users and the business.|By their ability to deliver features.|By their level of cross-functional collaboration.,By their ability to deliver features.,"Product Team vs Delivery Team,Team Roles"
"In the context of the 'Product Team Trio', which role is primarily responsible for addressing the 'Viability' of a product?",mcq,Product Manager|Tech Lead|Product Designer|Project Manager,Product Manager,"Product Team Trio,Role of Product Manager"
True or False: The job of a Product Manager is identical to the role of a Project Manager.,truefalse,,False,"Role of Product Manager,Project Management"
Which of the following is NOT listed as a key principle of a product mindset?,mcq,Customer Focus|Data-Driven Decisions|Iterative Development|Stakeholder Satisfaction,Stakeholder Satisfaction,Product Mindset
What is the relationship between a Product Manager and a Product Owner as described in the slides?,mcq,"They are two completely separate jobs with no overlap.|A Product Owner is a more senior, strategic role than a Product Manager.|A Product Manager may play the role of a Product Owner if the team uses Scrum.|The Product Owner defines the product vision, while the Product Manager manages the backlog.",A Product Manager may play the role of a Product Owner if the team uses Scrum.,"Role of Product Manager,Product Owner"
A team that validates its solutions with users *before* building and measures outcomes after delivery is characteristic of a:,mcq,Delivery Team|Project Team|Product Team|Scrum Team,Product Team,Product Team vs Delivery Team
Which core competency for a product manager involves the ability to 'lead and influence without authority'?,mcq,Business Savvy|Inspire Trust|Empathy|Technical Understanding,Inspire Trust,Product Management Competencies
What does the term 'Business Strategy' refer to?,mcq,"A plan to build a specific set of features and capabilities for a product.|A high-level view of where a product needs to go to meet long-term goals.|An overarching plan for how a company will compete, grow, and achieve its financial goals.|The process of identifying and validating customer problems and opportunities.","An overarching plan for how a company will compete, grow, and achieve its financial goals.","Business Strategy,Product Strategy"
True or False: A Product Strategy is primarily a detailed plan listing the specific features and capabilities a team will build over the next quarter.,truefalse,,False,Product Strategy
